Name,Category,Description,Address,Website
Alebrijes,Culture,Several towns near Oaxaca are famous for their alebrijes - San Martin Tilcajete being the most famous. In these towns you can wander around and find artisan's studios. They will likely offer you a mezcal before showing off their work.,"San Martin Tilcajete, Oaxaca",https://en.wikipedia.org/wiki/Alebrije
Barro Negro,Culture,Black clay is one of the signatures of Oaxacan pottery. San Bartolo Coyotepec is the center of black pottery craftsmanship in the state. Its about an hour from the City of Oaxaca.,"San Bartolo Coyotepec, Oaxaca",https://en.wikipedia.org/wiki/Barro_negro_pottery
Graphic Art Passport,Culture,In 2015 a collective of independent art studios began a program called pasaporte grafico where they invite to visit member studios.,Centro de Oaxaca,https://www.facebook.com/pasaportegrafico/?_rdc=1&_rdr
Guelaguetza,Culture,Month long celebration of Oaxacan cultures. July is full of official and unofficial events that celebrate the Guelaguetza.,Centro de Oaxaca,https://en.wikipedia.org/wiki/Guelaguetza
Mezcal,Culture,We highly recommend visiting the Mezcal Real Minero Distillery and palenque. Ask us about it and we will help you plan your visit.,"Santa Catarina Minas, Oaxaca",https://realminero.com.mx/
Textiles,Culture,"Oaxaca has  rich history of weaving and textile art. In recent decades, there has been a revival of using traditional dyes and materials to create pieces. The town of Teotitlán del Valle is one of the best places to find textiles.","Teotitlan del Valle, Oaxaca",https://www.fofa.us/textiles
Cuajimoloyas,"Culture, Nature",Fantastic hikes and nice towns. Cuajimoloyas is a little out of the way but makes a fun day trip. Call ahead - some of these have remained closed to outsiders during the pandemic as they are quite far from hospitals.,"San Antonio Cuajimoloyas, Oaxaca",https://things-to-do-in-oaxaca.mx/home/attractions/natural-attractions/ecotourism/cuajimoloyas-sierra-norte-oaxaca/
Mitla,Historical,City nearby with market. Also important archaeological site in town,Mitla,NA
Monte Alban,Historical,One of the premier archeological sites in Mexico. Just a few miles away,"Monte Alban, Oaxaca, Mexico",https://en.wikipedia.org/wiki/Monte_Alb%C3%A1n
Tlacolula de Matamoros,Market,"One of the oldest markets in Oaxaca. A fun, must see about 30 km from Oaxaca City.",Tlacolula,https://en.wikipedia.org/wiki/Tlacolula_de_Matamoros
Museo de las Culturas de Oaxaca,Museum,This cultural center houses archaeological artifacts & ancient books in a 17th-century convent.,"Macedonio Alcalá s/n, Centro Histórico, CP 68000, Oaxaca De Juárez, Oaxaca de Juárez, Oaxaca",https://www.lonelyplanet.com/mexico/oaxaca-city/attractions/museo-de-las-culturas-de-oaxaca/a/poi-sig/433806/361604
San Augustin's Centro de las Artes (CaSa),Museum,Beautiful museum. Converted textile factory in the countryside. Be sure to the check out the paper making studio.,"Av Independencia s/n, Vista Hermosa, 68247 San Agustín Etla, Oax., Mexico",http://www.casa.oaxaca.gob.mx/wp/
Hierve el Agua,Nature,Hierve el Agua is a set of natural rock formations in the Mexican state of Oaxaca that resemble cascades of water.,"Roaguía, Oaxaca, Mexico",https://www.tripadvisor.com/Attraction_Review-g150801-d4523240-Reviews-Hierve_el_Agua-Oaxaca_Southern_Mexico.html
Jardin etnobotánico,Nature,"The Ethnobotanical Garden of Oaxaca exhibits hundreds of live plant species, all native to Oaxaca. Planting began in 1998 with plants coming from different regions in the state of Oaxaca; such as arid, humid, low tropical and high mountainous temperate zones. The garden represents the broad diversity of geological formations, types of vegetation and climates that characterize Oaxaca.",Centro de Oaxaca,http://jardinoaxaca.mx/
Santa Maria El Tule,Nature,Fun market next to an enormous cypress tree,"2 de Abril, 8va Etapa IVO Fracc el Retiro, Santa María del Tule, Oax., Mexico",https://en.wikipedia.org/wiki/Santa_Mar%C3%ADa_del_Tule
Templo de Santo Domingo,Temple,"Location of Ceremony, 16th century monastery. It also houses the Museo de las Culturas, which celebrates the cultures of Oaxaca.",Centro de Oaxaca,https://en.wikipedia.org/wiki/Church_of_Santo_Domingo_de_Guzm%C3%A1n
